epoch,global_rmse_K,max_abs_err_K,Tmin_K,Tmax_K
10,110.6,552.2,140.4,3029.8
20,66.2,673.3,190.2,2878.6
30,69.6,634.1,157.0,3049.6
40,46.4,513.7,175.6,3291.4
50,61.1,720.9,179.6,2828.6
60,54.0,514.5,166.1,2986.0
80,38.4,604.4,176.7,2904.3
70,58.6,432.5,186.8,3013.1
